Working Group,Members
RDA/WDS Publishing Data Workflows WG,"Ajinkya Prabhune, 
Amy Nurnberger, 
Amy Hodge, 
Arthur Smith, 
Brian Hole, 
Bridget Almas, 
Chenzhou Cui, 
Claire Austin, 
Eefke Smit, 
Eleni Castro, 
Elizabeth Newbold, 
Fernanda Peset, 
Fiona Murphy, 
Gail Clement, 
Gary Berg-Cross, 
HÌ´kan Grudd, 
Haralambos Marmanis, 
HervÌ© L'Hours, 
Hylke Koers, 
Ian Bruno, 
Ingrid Dillo, 
Johanna Schwarz, 
John Helly, 
Jonathan Tedds, 
Julie Fukuyama, 
Julie Sutton, 
Kerstin Lehnert, 
Kim Fortun, 
Leah McEwen, 
Limor Peer, 
Lisa Zilinski, 
Lisa Raymond, 
Mark Donoghue, 
Martina Stockhause, 
Mary Vardigan, 
Matthew Jacobsen, 
Merce Crosas, 
Michael Diepenbroek, 
Mustapha Mokrane, 
Nikos Manolis, 
Rainer Stotzka, 
Ralph MÌ_ller-Pfefferkorn, 
Rorie Edmunds, 
Ruth Wilson, 
Sarah Callaghan, 
Sebastian Palucha, 
Sergio Serra, 
Simon Hodson, 
Suenje DT, 
Theodora Bloom, 
Tim Clark, 
Timea Biro, 
Tomasz Miksa, 
Varsha Khodiyar, 
Yolanda Meleco, 
Zaven Akopov, "
Repository Audit and Certification DSA‰ÛÒWDS Partnership WG,"Andrea Perego, 
Eleni Panagou, 
Francoise Genova, 
Heinz Pampel, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Jingbo Wang, 
Juha Hakala, 
Lesley Wyborn, 
Lesley Rickards, 
Martie van Deventer, 
Martin Donnelly, 
Martin Hammitzsch, 
Martina Stockhause, 
Mary Vardigan, 
Michael Diepenbroek, 
Mustapha Mokrane, 
Paul Trilsbeek, 
pierre le sidaner, 
Rorie Edmunds, 
Timea Biro, 
Yolanda Meleco, "
"The BioSharing Registry: connecting data policies, standards & databases in life sciences","Alejandra Gonzalez-Beltran, 
Amye Kenall, 
Aravind Venkatesan, 
Becca Wilson, 
brett johnson, 
Ìäamonn ÌÒ Tuama, 
Herman Stehouwer, 
Iain Hrynaszkiewicz, 
Ian Bruno, 
Jeffrey Grethe, 
Jennifer Boyd, 
Jennifer Lin, 
Jessica Tenenbaum, 
Jonathan Tedds, 
Mark Musen, 
Markus DÌ_ring, 
Melissa Haendel, 
Michael Witt, 
Michael Ball, 
Michel Dumontier, 
Milo Thurston, 
Nikos Manolis, 
Oya Beyan, 
Pierre LARMANDE, 
Pilar Cos Alvarez, 
Rafael C Jimenez, 
Rebecca Lawrence, 
Scott Edmunds, 
Simon Hodson, 
Sridhar Gutam, 
Susanna-Assunta Sansone, 
Theodora Bloom, 
Thomas Lemberger, 
Timea Biro, 
Todd Vision, 
Varsha Khodiyar, 
Yolanda Meleco, "
Wheat Data Interoperability WG,"Alex Whan, 
Andreas Drakos, 
Aravind Venkatesan, 
Carmen Reverte, 
Caterina Caracciolo, 
Cheryl Porter, 
Chris Rawlings, 
Cyril Pommier, 
Devika Madalli, 
Didier Leibovici, 
Dimitrios Koureas, 
Elizabeth Leake, 
Erich Seamon, 
Esther DZALE YEUMO KABORE, 
Imma Subirats Coll, 
Johannes Keizer, 
Laura Soito, 
Laurel Cooper, 
Luca Matteis, 
Michael Alaux, 
Odile Hologne, 
Pierre LARMANDE, 
RaphaÌÇl Flores, 
Richard Fulss, 
Robert Lovas, 
Sophie Aubin, 
Sridhar Gutam, 
Stefanie Kethers, 
Timea Biro, 
Valeria Pesce, 
Vassilis Protonotarios, 
Yolanda Meleco, "
Agriculture Data Interest Group (IGAD),"A. Chase Turner, 
Alejandra Gonzalez-Beltran, 
Alejandro Engelmann, 
Andreas Drakos, 
Andrew Treloar, 
Aravind Venkatesan, 
Carmen Reverte, 
Caterina Caracciolo, 
Charalampos Thanopoulos, 
Cheng Liu, 
Chris Rawlings, 
Claudio Biale, 
Cynthia Parr, 
David Morse, 
David Skinner, 
David King, 
Devika Madalli, 
Didier Leibovici, 
Dimitrios Koureas, 
Elizabeth Arnaud, 
Elizabeth Leake, 
Erich Seamon, 
Esther DZALE YEUMO KABORE, 
Francine Berman, 
Francoise Genova, 
Gabino Sanchez-Perez, 
Glen Newton, 
Herman Stehouwer, 
Hilary Hanahoe, 
Hugo Besemer, 
Imma Subirats Coll, 
J. Y., 
Johannes Keizer, 
Joshua Lieberman, 
Kerry Taylor, 
Kerry Albright, 
Lance McKee, 
Laura Soito, 
Leif Laaksonen, 
Leonore Reiser, 
Leslie Delserone, 
Liping Di, 
Luca Di Fiore, 
Luca Matteis, 
Mark Parsons, 
Mark Leggott, 
Martin Parr, 
Michael Ball, 
Monika Solanki, 
Nikos Manouselis, 
Odile Hologne, 
Peter Hessels, 
Pierre LARMANDE, 
Richard Fulss, 
Robert Davidson, 
Robert Lovas, 
Ruth Bastow, 
Sarah Dister, 
Sergio Serra, 
Simon Cox, 
Simona AbbÌÊ, 
Siobhann McCafferty, 
Sridhar Gutam, 
Stefan Stegemann, 
Stefanie Kethers, 
Stuart Gagnon, 
Suchith Anand, 
Sze Wong, 
Takanori Hayashi, 
Tim Clancy, 
Tim Williams, 
Timea Biro, 
Tomas LundÌ©n, 
Valeria Pesce, 
Vassilis Protonotarios, 
Veerle Van den Eynden, 
Yuantao Kou, 
Yunpeng Cui, 
Zhijie Zhang, "
Active Data Management Plans,"Aaike De Wever, 
Adam Leadbetter, 
Alin Charriere, 
Allen Dearry, 
Andrea Perego, 
Angus Whyte, 
Ben Evans, 
Catherine Pink, 
Charles (Chuck) Humphrey, 
Christine Trauttmansdorff, 
Christine Malinowski, 
Christoph Becker, 
Chrysi Tsinaraki, 
Claudia Engelhardt, 
Cord Wiljes, 
Dagmar Meyer, 
Daniel Mallmann, 
Dave Connell, 
David Baker, 
David Giaretta, 
Eleni Panagou, 
Esther Conway, 
Fernando Aguilar, 
Francis ANDRE, 
Fred Chan, 
GeneviÌ¬ve Romier, 
Godwin Yeboah, 
Hannes Thiemann, 
Helen Glaves, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Holger Brocks, 
Jamie Shiers, 
Jennifer Dewar, 
Jens Ludwig, 
Jeremy Cope, 
Jeremy Geelen, 
JESUS MARCO DE LUCAS, 
John Garrett, 
Joy Davidson, 
Julie Speer, 
Kathleen Shearer, 
Kevin Ashley, 
Laurence Horton, 
Lesley Wyborn, 
Libby Bishop, 
Lilian Neerut, 
Lisa Zilinski, 
Maaike Messelink, 
Magalie Moysan, 
Marianne van der Heijden, 
Marie-Christine Jacquemot-Perbal, 
Marjan Grootveld, 
Marta Teperek, 
Martie van Deventer, 
Matthias L. Hemmje, 
Michela Vignoli, 
Mijke Jetten, 
Mustapha Mokrane, 
Nancy Faget, 
Nancy Diana GÌ_mez, 
Naoyuki Tsunematsu, 
Natalia Manola, 
Rachel Proudfoot, 
Reagan Moore, 
Reid Otsuji, 
Rick Johnson, 
Rob Hooft, 
Robert Downs, 
Ruth Duerr, 
Sarah Jones, 
Sebastian Palucha, 
Sherry Lake, 
Simon Waddington, 
Stuart Macdonald, 
Sven Bingert, 
Terry Longstreth, 
Timea Biro, 
Tomasz Miksa, 
Yolanda Meleco, "
Big Data Analytics IG,"Aaron Addison, 
Adrian Tear, 
Ahmed Shiraz Memon, 
Andre Schaaff, 
Andrew Harrison, 
Andrew Treloar, 
Andy Turner, 
Antonie Haas, 
Anwar Vahed, 
Arturo H. AriÌ±o, 
Ben Evans, 
Ben Scott, 
Beth Massa, 
Beth Plale, 
Bohdan Schatschneider, 
Byron Georgantopoulos, 
Christian SchÌ_fer-Neth, 
Christian CHABRERIE, 
Christine Trauttmansdorff, 
Christoph Stich, 
Chrysi Tsinaraki, 
Colin J Wright, 
Cynthia Hudson Vitale, 
Daniel Mallmann, 
Dominique Mariko, 
Elizabeth Leake, 
Fabio Benedetti, 
Francine Berman, 
Geoffrey Fox, 
Giorgio Pedrazzi, 
Giuseppe Andronico, 
Giuseppe Fiameni, 
Godwin Yeboah, 
Henry Luetcke, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Hongfeng Yu, 
Hugh Shanahan, 
Hyoungjoo Park, 
Ian Truslove, 
Ingemar HÌ_ggstrÌ_m, 
Isao Kojima, 
J. Y., 
Javier Otegui, 
Jeffrey Grethe, 
Jorge Gil, 
Juan Soto, 
Kwo-Sen Kuo, 
Leif Laaksonen, 
Lesley Wyborn, 
LILI YANG, 
Line Pouchard, 
LuboÅÁ Kr€çÌÁl, 
Luca Di Fiore, 
Lukasz Bolikowski, 
Mahroof M, 
Markus Goetz, 
Matthias L. Hemmje, 
May Yuan, 
Michael Bruck, 
Mike Brown, 
Mingfang Wu, 
MORRIS RIEDEL, 
Natalia Manola, 
Oya Beyan, 
Paolo Manghi, 
Parinaz Ameri, 
Peng Yue, 
Peter Kraker, 
Peter Baumann, 
Pouria Amirian, 
Qing Liu, 
Rahul Ramachandran, 
Ralph MÌ_ller-Pfefferkorn, 
Ranga Raju Vatsavai, 
Richard McClatchey, 
Robert Quick, 
Robert McDonald, 
Robert Marcus, 
Sandro Fiore, 
Shen-Shyang Ho, 
Shiva Khanal, 
Siddeswara Guru, 
Simon Hodson, 
Simon Waddington, 
Stefanie Kethers, 
Stephen Wolff, 
Steve Kempler, 
Suchith Anand, 
Sylvia Ofosua Adjei, 
Sze Wong, 
Thierry Badard, 
Thomas Ebel, 
Timea Biro, 
Tony Fast, 
Ville Tenhunen, 
Weihua Lu, 
Wo Chang, 
Xiaobin Shen, 
Yannis Ioannidis, 
Yin Chen, 
Yunpeng Cui, 
Zhijie Zhang, "
Biodiversity Data Integration IG,"Aaike De Wever, 
Alejandra Gonzalez-Beltran, 
ANA CASINO, 
Andrew Harrison, 
Anne Thessen, 
Anton Van de Putte, 
Anton Ellenbroek, 
Arturo H. AriÌ±o, 
Bart V., 
Beth Massa, 
Birgitta KÌ_nig-Ries, 
Brian Westra, 
Christian SchÌ_fer-Neth, 
Christina Flann, 
Chrysi Tsinaraki, 
Chuck Miller, 
Claudio Biale, 
Claus Weiland, 
Cynthia Chandler, 
Cynthia Parr, 
David Morse, 
David Patterson, 
David King, 
Dimitrios Koureas, 
Donat Agosti, 
Donatella Castelli, 
Ìäamonn ÌÒ Tuama, 
Eduardo Dalcin, 
Fernando Aguilar, 
Florian Wetzel, 
Francis Strobbe, 
Herbert Schentz, 
Herman Stehouwer, 
J. Y., 
Jane Greenberg, 
Javier Otegui, 
Jon Shuker, 
Laura Soito, 
Lyubomir Penev, 
Malcolm Wolski, 
Maria Krestyaninova, 
Maria Llosent, 
Markus DÌ_ring, 
Nicky Nicolson, 
Noel Conruyt, 
Quentin Groom, 
Rebecca Koskela, 
Robert Huber, 
Sarah Potvin, 
Sarah Judson, 
Shiva Khanal, 
Siddeswara Guru, 
Sky Bristol, 
Sophie Hou, 
Stefanie Kethers, 
StÌ©phane FranÌ_ois, 
Steven Chong, 
Suchith Anand, 
Susan Braxton, 
Susanna-Assunta Sansone, 
Tim Clancy, 
Timea Biro, 
Vassilis Protonotarios, 
Vincent Smith, 
Ward Appeltans, 
Yde de Jong, "
Brokering IG,"Adrian Burton, 
Ana Macario, 
AndrÌÁs Micsik, 
Andre Schaaff, 
Andrea Perego, 
Andrew Treloar, 
Bente Lilja Bye, 
Bridget Almas, 
Chad Trabant, 
Daniel Mallmann, 
David Arctur, 
Enrico Boldrini, 
Francine Berman, 
Francis Strobbe, 
Francoise Pearlman, 
George Percivall, 
Heikki Sundquist, 
Herman Stehouwer, 
Hilary Hanahoe, 
Ian Truslove, 
Jeffrey Grethe, 
Kostiantyn Yefremov, 
Leif Laaksonen, 
Lorenzo Bigagli, 
Luca Di Fiore, 
Marco Rorro, 
Mark Leggott, 
Mark Parsons, 
Mattia Santoro, 
Max Craglia, 
Michael Diepenbroek, 
Mohan Ramamurthy, 
Nandana Mihindukulasooriya, 
Paolo Mazzetti, 
Paul Foster, 
Rebecca Koskela, 
Reyna Jenkyns, 
Rob Hooft, 
Roberto Roncella, 
Ruth Duerr, 
Simon Cox, 
Siri Jodha Khalsa, 
Stefanie Kethers, 
Stefano Nativi, 
Stephen Slota, 
Tim Duffy, 
Timea Biro, 
Tobias Spears, 
Ville Tenhunen, "
Community Capability Model IG,"Alex Wade, 
AndrÌÁs Micsik, 
Andreas Rauber, 
Andrew MAFFEI, 
Andrew Treloar, 
Ari Asmi, 
Christina Drummond, 
Christoph Becker, 
Claudio Atzori, 
Fabio Gennai, 
Francine Berman, 
Francis ANDRE, 
Garret McMahon, 
Godwin Yeboah, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Jaroslaw Nabrzyski, 
Jonathan Tedds, 
Larry Lannom, 
Leif Laaksonen, 
Liz Lyon, 
Manjula Patel, 
Mike Usmar, 
Stefanie Kethers, 
Tanja Friedrich, 
Timea Biro, "
Data Fabric IG,"Adam Leadbetter, 
Ajinkya Prabhune, 
Alan Blatecky, 
Alex Ball, 
Andrew MAFFEI, 
Arthur Smith, 
Bob Muller, 
Bridget Almas, 
Charles Vardeman II, 
Christian PagÌ©, 
Chrysi Tsinaraki, 
Colin J Wright, 
Cord Wiljes, 
Cynthia Hudson Vitale, 
Daan Broeder, 
Daniel Mallmann, 
Dieter Van Uytvanck, 
Eleni Panagou, 
Francoise Genova, 
Gary Berg-Cross, 
Gregory Crane, 
Hannes Thiemann, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Ingemar HÌ_ggstrÌ_m, 
Inna Kouper, 
Jamie Shiers, 
Jane Greenberg, 
Jay Pearlman, 
Jeffrey Grethe, 
Jingbo Wang, 
Johannes Reetz, 
John Henry Scott, 
Juha Hakala, 
Keith Jeffery, 
Larry Lannom, 
Leonardo Candela, 
Libbie Stephenson, 
Mark van de Sanden, 
Martina Stockhause, 
Matthew Turk, 
Michael Lautenschlager, 
Mogens Sandfaer, 
Peter Baker, 
Peter Wittenburg, 
Rainer Stotzka, 
Ralph MÌ_ller-Pfefferkorn, 
Raphael Ritz, 
Reagan Moore, 
Rebecca Koskela, 
Reinhard Budich, 
Rob Baxter, 
Rob Pennington, 
Robert Ulrich, 
Roland Koppe, 
Stefano Nativi, 
Stephan Kindermann, 
Stephen Wolff, 
Thomas Zastrow, 
Thomas Jejkal, 
Timea Biro, 
Tiziana Ferrari, 
Tobias Weigel, 
Ulrich Schwardmann, 
Ville Tenhunen, 
XiaoXuan Wang, 
Yunqiang Zhu, 
Yuri Demchenko, "
Data for Development,"Bogdan Voicu, 
Caroline Martin, 
Celia Emmelhainz, 
Fotis Karagiannis, 
Ingvill Constanze Mochmann, 
Julia Maintz, 
Malina Voicu, 
Paul de Guchteneire, 
Paula EL KHOURY, 
Shiva Khanal, 
Simon Hodson, 
Solomon Mekonnen Tekle, 
VINCENT ODHIAMBO, "
Data Foundations and Terminology IG,"Cynthia Chandler, 
Cynthia Hudson Vitale, 
David Dubin, 
Gary Berg-Cross, 
Giovanni Simonini, 
Jeffrey Grethe, 
Joe HourclÌ©, 
Kathleen Fontaine, 
Keith Jeffery, 
Lauren Intagliata, 
Libbie Stephenson, 
Lisa Zilinski, 
Mark Musen, 
Petr Benedikt, 
Raphael Ritz, 
Reagan Moore, 
Robert Quick, 
Thomas Zastrow, 
Tobias Weigel, 
Xiaoli Li, "
Data in Context IG,"Ajinkya Prabhune, 
Alejandra Gonzalez-Beltran, 
Alessia Bardi, 
Alex Ball, 
Amalie SÌügaard Nielsen, 
Amir Aryani, 
Andrea Perego, 
Andrew Treloar, 
Angus Whyte, 
Barbara Sierman, 
Brian Matthews, 
Brigitte Joerg, 
Chrysi Tsinaraki, 
Dagmar Meyer, 
Dana Ernst, 
David King, 
Elena Simukovic, 
Francine Berman, 
Garret McMahon, 
Gary Berg-Cross, 
Godwin Yeboah, 
Hans Pfeiffenberger, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Hyoungjoo Park, 
Jane Greenberg, 
Jeffrey Grethe, 
Jochen Schirrwagen, 
Julie Fukuyama, 
Keith Jeffery, 
Kevin Ashley, 
Leif Laaksonen, 
Marie-Christine Jacquemot-Perbal, 
Mark Leggott, 
Martie van Deventer, 
Michela Vignoli, 
Mostafa Elag, 
Naresh Kumar, 
Natasha Bulatovic, 
Nikos Houssos, 
Paolo Manghi, 
Paul Bern, 
Peter Fox, 
Quentin Reul, 
Rebecca Koskela, 
Sarah Pickle, 
Siddeswara Guru, 
Simon Waddington, 
Simon Hodson, 
Stefanie Kethers, 
Sylvia Ofosua Adjei, 
Timea Biro, 
Uli Hahn, 
Ville Tenhunen, 
Volker Hartmann, 
Xiaogang Ma, 
Yin Chen, "
Data Rescue,"Aaike De Wever, 
Alisdair Davey, 
Anne Thessen, 
Chenzhou Cui, 
Chris Muller, 
Eleni Panagou, 
Elizabeth Bradshaw, 
Elizabeth Leake, 
Elizabeth Griffin, 
Godwin Yeboah, 
Inna Kouper, 
Jamie Shiers, 
John Faundeen, 
Kate Roberts, 
Kerstin Lehnert, 
Lesley Rickards, 
Lesley Wyborn, 
Leslie Hsu, 
Marieka Arksey, 
Reyna Jenkyns, 
Rick Crouthamel, 
Robert Downs, 
Thierry Pauwels, 
Timea Biro, 
Wendy Kozlowski, 
William Anderson, 
Xiaogang Ma, "
Development of cloud computing capacity and education in developing world research,"Amye Kenall, 
Andrew Harrison, 
Arturo Martinez, 
Avgoustinos Constantinides, 
Becca Wilson, 
Cheng Liu, 
Christine Kirkpatrick, 
Diana Hendrickx, 
El Bitar Ziad, 
Esther DZALE YEUMO KABORE, 
Godwin Yeboah, 
Henry Luetcke, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hugh Shanahan, 
Jamie Shiers, 
Jerome Pansanel, 
Jonathan Tedds, 
Paula EL KHOURY, 
Rainer Stotzka, 
Robert Quick, 
Shiva Khanal, 
Siddeswara Guru, 
Simon Hodson, 
Suchith Anand, 
Timea Biro, 
Vincent Breton, 
Yuri Malitsky, 
Zhijie Zhang, "
Digital Practices in History and Ethnography IG,"Helen Kay Raseroka, 
Adrea Lawrence, 
Alberto Corsin Jimenez, 
Alison Kenner, 
Alli Morgan, 
Allison Fish, 
Ana van Meegen, 
Andrew MAFFEI, 
Andrew Treloar, 
Andy Kolovos, 
Anna Krohn, 
Anthony Buccitelli, 
Brandon Costelloe-Kuehn, 
Brian Sontag, 
Bridget Almas, 
Bruce Caron, 
Candice Lanius, 
Celia Emmelhainz, 
Christina Drummond, 
Cindy Nguyen, 
Colleen Strawhacker, 
Dan Price, 
Dana Ernst, 
David King, 
Dessi Kirilova, 
Dominic Difranzo, 
Dora Constantinidis, 
Erick Peirson, 
Gabrielle Berlinger, 
Heidi Dowding, 
Hilary Hanahoe, 
Inna Kouper, 
Jason Baird Jackson, 
Jean Bernard Minster, 
Jerome Whitington, 
Jodine Perkins, 
Joel Wurl, 
John Russell, 
Josephine McRobbie, 
Julia Bullard, 
Julia Collins, 
Kendall Roark, 
Kim Fortun, 
Laurie Taylor, 
Libby Bishop, 
Lindsay Poirier, 
Lisa Conathan, 
Lisa McDevitt, 
Luis Felipe Rosado Murillo, 
Manuel Loyola, 
Mari Sarv, 
Marieka Arksey, 
Mark Parsons, 
Mark Leggott, 
Megan Stadler, 
Mei-Ling Israel, 
Melissa Cefkin, 
Michael Nelson, 
Mike Fortun, 
Ned Dostaler, 
Peggy Lindner, 
Rachael Black, 
Rainer Stotzka, 
Rebecca Rouse, 
Robert Downs, 
Robert Russo, 
Ryan Shaw, 
Sharon Webb, 
Sharon Traweek, 
Suchith Anand, 
Susan Stucky, 
Swati Chawla, 
Timea Biro, 
Timothy Lloyd, 
Unmil Karadkar, 
Vincent Razanajao, 
Wendy Hagenmaier, 
Ylonka Machado, 
Yolanda Meleco, "
Domain Repositories Interest Group,"Adam Leadbetter, 
Alessandro Sarretta, 
Allen Dearry, 
Amy Hodge, 
Andre Schaaff, 
Bob Muller, 
Chris Taylor, 
Colin Elman, 
Cynthia Chandler, 
Dagmar Meyer, 
Dharma Akmon, 
Dong Joon Lee, 
Eleni Panagou, 
Eva Huala, 
Garret McMahon, 
George Alter, 
Godwin Yeboah, 
Hannes Thiemann, 
Hans Pfeiffenberger, 
HervÌ© L'Hours, 
Hilary Hanahoe, 
Ian Bruno, 
Jamie Shiers, 
Jason Baird Jackson, 
Jens Klump, 
Joachim Wackerow, 
John Westbrook, 
Julio Ramirez, 
Kashif Iqbal, 
Kathleen Shearer, 
Kerstin Lehnert, 
Kevin Ashley, 
Larry Lannom, 
Libbie Stephenson, 
Limor Peer, 
Lisa Zilinski, 
Luca Di Fiore, 
Maaike Messelink, 
Marc Maynard, 
Maria Krestyaninova, 
Mark Parsons, 
Martin Hammitzsch, 
Matthew Jones, 
Matthew Turk, 
Megan Stadler, 
Mike Fortun, 
Mohan Ramamurthy, 
Nancy Faget, 
Natalie Meyers, 
Peter Baumann, 
Peter Doorn, 
Rebecca Koskela, 
Richard Kidd, 
Rick Gilmore, 
Robert Hanisch, 
Ruth Duerr, 
Ryan Scherle, 
Sarah Callaghan, 
Siddeswara Guru, 
Siobhann McCafferty, 
Solomon Mekonnen Tekle, 
Susan Braxton, 
Tanja Friedrich, 
Timea Biro, 
Unmil Karadkar, 
William Michener, 
William Block, "
Education and Training on handling of research data,"Aaron Collie, 
Alexia Katsanidou, 
Amy Nurnberger, 
Ana van Meegen, 
Andreas Drakos, 
Andrew Harrison, 
Andrew Cox, 
Anton Angelo, 
Ari Asmi, 
Arturo H. AriÌ±o, 
Birgit Schmidt, 
Celia Emmelhainz, 
Charalampos Thanopoulos, 
Cheryl Thompson, 
Chris Phethean, 
Christine Trauttmansdorff, 
Christopher Eaker, 
Christopher Jung, 
Colin J Wright, 
Cord Wiljes, 
Cynthia Hudson Vitale, 
Dagmar Meyer, 
David Giaretta, 
David Morse, 
Dimitrios Koureas, 
ELENI PETRA, 
Elizabeth Griffin, 
Elizabeth Krznarich, 
Elke Greifeneder, 
Ellen Verbakel, 
Elodie Lievre, 
Fotis Karagiannis, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Holger Brocks, 
Hrachya Astsatryan, 
Imma Subirats Coll, 
Jana Becker, 
Javier Otegui, 
Jean-Baptiste Bohuon, 
Jeremy Cope, 
Jeremy Geelen, 
Jon Johnson, 
Joy Davidson, 
Julia Collins, 
Julie Fukuyama, 
Julie Speer, 
Kevin Ashley, 
Kimberly Tryka, 
Laura Soito, 
Laura Molloy, 
Leonore Reiser, 
Libby Bishop, 
Lisa Zilinski, 
Lukasz Bolikowski, 
Marco Fahmi, 
Maria Krestyaninova, 
MariÌÇtte van Selm, 
Martha Whitehead, 
Martin Hammitzsch, 
Matthias L. Hemmje, 
Megan Stadler, 
Miguel-Angel Sicilia, 
Mogens Sandfaer, 
Naoyuki Tsunematsu, 
Natasha Balac, 
Patrice Ajai-Ajagbe, 
Rachael Black, 
Sarah Jones, 
Sherry Lake, 
Shiva Khanal, 
Simon Hodson, 
StÌ©phane Goldstein, 
Steve Brewer, 
Thomas Ebel, 
Timea Biro, 
Unmil Karadkar, 
Valerie BRASSE, 
Vassilis Protonotarios, 
Veerle Van den Eynden, 
Ward Appeltans, 
Yuri Demchenko, 
Zhijie Zhang, "
ELIXIR Bridging Force IG,"Alejandra Gonzalez-Beltran, 
Bengt Persson, 
brett johnson, 
Carole Goble, 
Christophe Blanchet, 
David AntoÅÁ, 
Dimitrios Koureas, 
Herbert Schentz, 
Herman Stehouwer, 
Irene Nooren, 
Jaime Prilusky, 
Jarno Laitinen, 
Luiz Olavo Bonino da Silva Santos, 
Maria Krestyaninova, 
Michael Witt, 
Mikael Borg, 
Oya Beyan, 
Petr Benedikt, 
Pierre LARMANDE, 
Rafael C Jimenez, 
Rob Hooft, 
Robert Quick, 
Susanna-Assunta Sansone, 
Tommi NyrÌ_nen, "
Engagement IG,"Alessandra Scicchitano, 
Amy Nurnberger, 
Andrew MAFFEI, 
Andrew Treloar, 
Annemiek van der Kuil, 
Brandon Costelloe-Kuehn, 
Bruce Caron, 
Cheryl Thompson, 
Chris Taylor, 
christie wiley, 
Cynthia Hudson Vitale, 
Dagmar Meyer, 
Daniel Mallmann, 
Dee Magnoni, 
Francine Berman, 
Francis Strobbe, 
Francis ANDRE, 
Francoise Genova, 
Helen Glaves, 
Heli VÌ_Ì_tÌ_jÌ_, 
Herbert Gruttemeier, 
Herman Stehouwer, 
Hilary Hanahoe, 
Inna Kouper, 
Jane Frazier, 
Jane Greenberg, 
Jonathan Tedds, 
Julie Fukuyama, 
Kerstin Konitzer, 
Kevin Ashley, 
Kimberly Tryka, 
Larry Lannom, 
Laura Molloy, 
Laurie Taylor, 
Leif Laaksonen, 
Luca Di Fiore, 
Manjula Patel, 
Marcio Faerman, 
Mark Parsons, 
Mike Fortun, 
Rachael Black, 
Rebecca Koskela, 
Rene Patnode, 
Ruth Wilson, 
Sarah Jones, 
Sophie Hou, 
Stefanie Kethers, 
Steve Brewer, 
Suchith Anand, 
Susanna-Assunta Sansone, 
Timea Biro, 
Ville Tenhunen, 
Wendy Hagenmaier, "
Ethics and Social Aspects of Data,"Andy Turner, 
Candice Lanius, 
Celia Emmelhainz, 
Christine Kirkpatrick, 
Dessi Kirilova, 
Elizabeth Griffin, 
Gilles ADDA, 
Inna Kouper, 
Julia Collins, 
Kalpana Shankar, 
Libby Bishop, 
Marco Scarselli, 
Mike Usmar, 
Oya Beyan, 
Paul-Olivier Dehaye, 
Robert Quick, 
Sarah Olesen, 
Stefanie Kethers, 
Timea Biro, 
Federated Identity Management, 
Ahmed Shiraz Memon, 
Andrea Baldi, 
Ann Harding, 
Antti Pursula, 
Bastian Tweddell, 
Bob Jones, 
Bob Jones, 
Brook Schofield, 
Bruce Wilson, 
Christine Staiger, 
Cynthia Chandler, 
Daan Broeder, 
Daniel Mallmann, 
Daniela PÌ_hn, 
Dean Flanders, 
Dieter Van Uytvanck, 
Elizabeth Leake, 
Frank Schluenzen, 
Gary Berg-Cross, 
Heinz Josef Weyer, 
Herman Stehouwer, 
HervÌ© L'Hours, 
Hrachya Astsatryan, 
Ian Foster, 
Jeffrey Grethe, 
Jim Basney, 
Joachim Wackerow, 
Johannes Reetz, 
Kenji Takeda, 
Larry Lannom, 
Laura Paglione, 
Licia Florio, 
Lukas HÌ_mmerle, 
Maarten Kremers, 
Marco Leonardi, 
Marcus Hardt, 
Martin Hammitzsch, 
Matthew Jones, 
Mirjam van Daalen, 
Nicole Harris, 
Niels van Dijk, 
Nigel Ward, 
Peter Gietz, 
Rob Hooft, 
Romain Wartel, 
Sandro Fiore, 
Sebastian Palucha, 
Siddeswara Guru, 
Simon Cox, 
Stefan Paetow, 
Sven Bingert, 
Tibor KÌÁlmÌÁn, 
Timea Biro, 
Willem Elbers, 
Wolfgang Pempe, "
